epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.9855,0.86441,1.58592,0.98902,0.92073,0.94414,0.97802,0.7244,0.84314,1.44444,0.93293,0.000661064,0.000661064,0.000661064
2,86.4421,0.90048,0.93418,1.023,0.9192,0.94625,0.97922,0.74783,0.81725,0.74615,1.07573,0.00130144,0.00130144,0.00130144
3,127.657,0.8967,0.74227,1.03228,0.93728,0.93222,0.97738,0.73257,0.84056,0.58784,1.08525,0.00191542,0.00191542,0.00191542
4,167.983,0.87689,0.60967,1.03344,0.94223,0.9603,0.98241,0.7389,0.81785,0.55563,1.06869,0.0018812,0.0018812,0.0018812
5,208.429,0.85015,0.57809,1.03138,0.92727,0.89225,0.93655,0.71309,0.83957,0.64521,1.06586,0.0018416,0.0018416,0.0018416
6,249.135,0.85176,0.54898,1.01551,0.9638,0.93762,0.98745,0.76787,0.75291,0.43919,1.0311,0.001802,0.001802,0.001802
7,289.47,0.82201,0.50643,1.01104,0.94929,0.95551,0.988,0.75627,0.76771,0.43321,1.04812,0.0017624,0.0017624,0.0017624
8,329.774,0.80473,0.49526,1.01015,0.94634,0.96689,0.98891,0.76446,0.74666,0.46334,1.03411,0.0017228,0.0017228,0.0017228
9,369.857,0.83661,0.49356,1.02617,0.95379,0.97543,0.99098,0.77057,0.75068,0.40233,1.04372,0.0016832,0.0016832,0.0016832
10,410.212,0.814,0.46666,1.00704,0.94226,0.95636,0.98439,0.7695,0.76762,0.40718,1.02894,0.0016436,0.0016436,0.0016436
11,451.205,0.81233,0.46544,1.01193,0.93989,0.98677,0.98645,0.78408,0.73965,0.38608,1.03859,0.001604,0.001604,0.001604
12,491.32,0.80046,0.44721,1.0116,0.95086,0.95097,0.97124,0.75907,0.74976,0.4188,1.03027,0.0015644,0.0015644,0.0015644
13,532.106,0.78722,0.44881,0.99944,0.94091,0.96597,0.98207,0.76999,0.73973,0.41788,1.03773,0.0015248,0.0015248,0.0015248
14,572.129,0.78354,0.44265,1.00272,0.94814,0.97164,0.98917,0.78676,0.72784,0.38017,1.01392,0.0014852,0.0014852,0.0014852
15,612.443,0.78778,0.44029,0.99726,0.94568,0.96408,0.987,0.77627,0.75022,0.37978,1.02016,0.0014456,0.0014456,0.0014456
16,652.577,0.78046,0.4348,1.00262,0.95846,0.95957,0.98977,0.78477,0.74888,0.38453,1.01511,0.001406,0.001406,0.001406
17,691.871,0.77884,0.42834,1.00045,0.93431,0.98866,0.9848,0.77404,0.73978,0.36421,1.02283,0.0013664,0.0013664,0.0013664
