epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,731.759,0.76729,0.42086,1.00021,0.94586,0.99076,0.98979,0.78584,0.74321,0.35646,1.02854,0.0013268,0.0013268,0.0013268
19,771.992,0.77787,0.41208,0.99318,0.95747,0.97887,0.98971,0.78079,0.71346,0.36365,1.00988,0.0012872,0.0012872,0.0012872
20,812.071,0.75645,0.41304,0.98754,0.9481,0.98488,0.98862,0.78452,0.70221,0.34548,1.00998,0.0012476,0.0012476,0.0012476
21,852.036,0.75051,0.39952,0.9929,0.95201,0.97493,0.98629,0.77909,0.74241,0.35218,1.01531,0.001208,0.001208,0.001208
22,892.453,0.73837,0.41826,0.98278,0.93441,0.98677,0.98883,0.78108,0.71326,0.34222,1.00689,0.0011684,0.0011684,0.0011684
23,932.622,0.73864,0.39874,0.98433,0.95658,0.95786,0.98737,0.77834,0.72383,0.36509,1.01586,0.0011288,0.0011288,0.0011288
24,972.565,0.75786,0.40775,0.98157,0.95394,0.97887,0.98763,0.78559,0.68543,0.33113,1.00186,0.0010892,0.0010892,0.0010892
25,1012.28,0.73901,0.37972,0.98275,0.94677,0.98299,0.98752,0.7844,0.72885,0.33506,1.0095,0.0010496,0.0010496,0.0010496
26,1052.11,0.74726,0.40216,0.9825,0.94223,0.98668,0.9894,0.79623,0.67424,0.33465,0.99542,0.00101,0.00101,0.00101
27,1092.47,0.73747,0.38151,0.98151,0.94088,0.99433,0.98962,0.79125,0.70569,0.31477,1.00605,0.0009704,0.0009704,0.0009704
28,1132.06,0.73579,0.38581,0.98303,0.9577,0.9811,0.9891,0.79511,0.69131,0.33423,0.99925,0.0009308,0.0009308,0.0009308
29,1171.6,0.71446,0.37195,0.971,0.9676,0.95963,0.98354,0.79103,0.67796,0.33468,0.99663,0.0008912,0.0008912,0.0008912
30,1211.59,0.71332,0.36897,0.97098,0.95243,0.97921,0.9885,0.79058,0.68138,0.31549,0.99624,0.0008516,0.0008516,0.0008516
31,1251.34,0.71301,0.36998,0.97087,0.95819,0.97732,0.98854,0.79111,0.67952,0.32466,1.00077,0.000812,0.000812,0.000812
32,1291.16,0.72177,0.37156,0.97119,0.9515,0.98677,0.9903,0.78163,0.7045,0.33576,1.00953,0.0007724,0.0007724,0.0007724
33,1330.99,0.70671,0.36562,0.97355,0.94974,0.98677,0.99082,0.80817,0.68072,0.3179,0.99205,0.0007328,0.0007328,0.0007328
34,1370.72,0.71692,0.36988,0.97376,0.95403,0.98089,0.99112,0.7989,0.66894,0.31858,0.99092,0.0006932,0.0006932,0.0006932
35,1410.42,0.71274,0.35624,0.97672,0.96106,0.97986,0.99163,0.81603,0.6677,0.30865,0.99223,0.0006536,0.0006536,0.0006536
36,1450.53,0.69231,0.35286,0.95998,0.96283,0.97921,0.99079,0.80968,0.66689,0.31469,0.99622,0.000614,0.000614,0.000614
37,1490.34,0.69637,0.35331,0.97254,0.95736,0.9811,0.98975,0.80776,0.66166,0.30939,0.99451,0.0005744,0.0005744,0.0005744
38,1530.07,0.6958,0.35072,0.97137,0.96291,0.9811,0.9923,0.80372,0.65571,0.30577,0.98643,0.0005348,0.0005348,0.0005348
39,1568.94,0.69421,0.35092,0.96558,0.95645,0.9811,0.99085,0.81526,0.65322,0.29692,0.99045,0.0004952,0.0004952,0.0004952
40,1608.57,0.69219,0.33743,0.96558,0.95952,0.98567,0.9917,0.80417,0.65159,0.29563,0.98446,0.0004556,0.0004556,0.0004556
41,1650.1,0.66434,0.30869,0.98417,0.95009,0.99055,0.99122,0.79559,0.68425,0.31408,0.98959,0.000416,0.000416,0.000416
42,1688.46,0.66112,0.30751,0.983,0.95435,0.98808,0.99012,0.8069,0.65477,0.3047,0.98957,0.0003764,0.0003764,0.0003764
43,1727.4,0.6564,0.3072,0.9793,0.9601,0.99055,0.99197,0.80302,0.65535,0.29567,0.98725,0.0003368,0.0003368,0.0003368
44,1766.23,0.64645,0.299,0.98312,0.95787,0.99244,0.99117,0.81187,0.64263,0.29148,0.98805,0.0002972,0.0002972,0.0002972
45,1804.22,0.64512,0.29484,0.97519,0.95946,0.98438,0.98975,0.80514,0.64427,0.2877,0.98623,0.0002576,0.0002576,0.0002576
46,1843.34,0.63532,0.28545,0.97412,0.95718,0.98866,0.99182,0.82387,0.64406,0.2823,0.98165,0.000218,0.000218,0.000218
47,1882.27,0.6354,0.28396,0.97327,0.96314,0.98802,0.99136,0.8234,0.63849,0.28256,0.98407,0.0001784,0.0001784,0.0001784
48,1922.1,0.63332,0.27859,0.96952,0.96578,0.98677,0.99156,0.81807,0.64149,0.27974,0.98484,0.0001388,0.0001388,0.0001388
49,1961.01,0.61769,0.27145,0.96786,0.96666,0.98645,0.99148,0.82083,0.63909,0.27783,0.98553,9.92e-05,9.92e-05,9.92e-05
50,2000.36,0.61611,0.27333,0.96297,0.96486,0.98677,0.99151,0.81335,0.64127,0.27815,0.98537,5.96e-05,5.96e-05,5.96e-05
